LapNumber,Compound,TyreLife,LapTime_s,PitIn,PitOut,TrackStatus,Driver
1.0,MEDIUM,1.0,2456.33,1,0,1254,LEC
3.0,HARD,2.0,84.624,0,0,1,LEC
4.0,HARD,3.0,82.625,0,0,1,LEC
5.0,HARD,4.0,81.795,0,0,1,LEC
6.0,HARD,5.0,81.145,0,0,1,LEC
7.0,HARD,6.0,80.98,0,0,1,LEC
8.0,HARD,7.0,81.03,0,0,1,LEC
9.0,HARD,8.0,80.114,0,0,1,LEC
10.0,HARD,9.0,80.775,0,0,1,LEC
11.0,HARD,10.0,81.046,0,0,1,LEC
12.0,HARD,11.0,80.252,0,0,1,LEC
13.0,HARD,12.0,79.017,0,0,1,LEC
14.0,HARD,13.0,79.913,0,0,1,LEC
15.0,HARD,14.0,79.838,0,0,1,LEC
16.0,HARD,15.0,80.156,0,0,1,LEC
17.0,HARD,16.0,80.279,0,0,1,LEC
18.0,HARD,17.0,79.58,0,0,1,LEC
19.0,HARD,18.0,78.842,0,0,1,LEC
20.0,HARD,19.0,78.724,0,0,1,LEC
21.0,HARD,20.0,78.472,0,0,1,LEC
22.0,HARD,21.0,78.62,0,0,1,LEC
23.0,HARD,22.0,78.458,0,0,1,LEC
24.0,HARD,23.0,78.725,0,0,1,LEC
25.0,HARD,24.0,78.973,0,0,1,LEC
26.0,HARD,25.0,78.445,0,0,1,LEC
27.0,HARD,26.0,78.351,0,0,1,LEC
28.0,HARD,27.0,78.71,0,0,1,LEC
29.0,HARD,28.0,79.053,0,0,1,LEC
30.0,HARD,29.0,79.935,0,0,1,LEC
31.0,HARD,30.0,78.393,0,0,1,LEC
32.0,HARD,31.0,79.125,0,0,1,LEC
33.0,HARD,32.0,78.494,0,0,1,LEC
34.0,HARD,33.0,79.319,0,0,1,LEC
35.0,HARD,34.0,78.53,0,0,1,LEC
36.0,HARD,35.0,78.689,0,0,1,LEC
37.0,HARD,36.0,78.925,0,0,1,LEC
38.0,HARD,37.0,78.528,0,0,1,LEC
39.0,HARD,38.0,78.181,0,0,1,LEC
40.0,HARD,39.0,78.733,0,0,1,LEC
41.0,HARD,40.0,78.694,0,0,1,LEC
42.0,HARD,41.0,79.277,0,0,1,LEC
43.0,HARD,42.0,77.865,0,0,1,LEC
44.0,HARD,43.0,78.276,0,0,1,LEC
45.0,HARD,44.0,78.541,0,0,1,LEC
46.0,HARD,45.0,78.567,0,0,1,LEC
47.0,HARD,46.0,79.185,0,0,1,LEC
48.0,HARD,47.0,77.941,0,0,1,LEC
49.0,HARD,48.0,78.506,0,0,1,LEC
50.0,HARD,49.0,78.185,0,0,1,LEC
51.0,HARD,50.0,77.79,0,0,1,LEC
52.0,HARD,51.0,78.311,0,0,1,LEC
53.0,HARD,52.0,77.748,0,0,12,LEC
54.0,HARD,53.0,77.357,0,0,1,LEC
55.0,HARD,54.0,77.444,0,0,1,LEC
56.0,HARD,55.0,77.266,0,0,1,LEC
57.0,HARD,56.0,77.64,0,0,1,LEC
58.0,HARD,57.0,77.028,0,0,1,LEC
59.0,HARD,58.0,77.034,0,0,1,LEC
60.0,HARD,59.0,76.414,0,0,1,LEC
61.0,HARD,60.0,76.863,0,0,1,LEC
62.0,HARD,61.0,77.454,0,0,1,LEC
63.0,HARD,62.0,76.971,0,0,1,LEC
64.0,HARD,63.0,76.56,0,0,1,LEC
65.0,HARD,64.0,76.607,0,0,1,LEC
66.0,HARD,65.0,76.489,0,0,1,LEC
67.0,HARD,66.0,75.941,0,0,1,LEC
68.0,HARD,67.0,76.082,0,0,1,LEC
69.0,HARD,68.0,76.373,0,0,1,LEC
70.0,HARD,69.0,75.767,0,0,1,LEC
71.0,HARD,70.0,75.162,0,0,1,LEC
72.0,HARD,71.0,75.547,0,0,1,LEC
73.0,HARD,72.0,76.219,0,0,1,LEC
74.0,HARD,73.0,76.105,0,0,1,LEC
75.0,HARD,74.0,76.387,0,0,1,LEC
76.0,HARD,75.0,76.808,0,0,1,LEC
77.0,HARD,76.0,76.933,0,0,1,LEC
78.0,HARD,77.0,78.636,0,0,1,LEC
1.0,MEDIUM,2.0,2458.744,1,0,1254,PIA
3.0,HARD,3.0,84.953,0,0,1,PIA
4.0,HARD,4.0,82.314,0,0,1,PIA
5.0,HARD,5.0,82.019,0,0,1,PIA
6.0,HARD,6.0,81.354,0,0,1,PIA
7.0,HARD,7.0,80.808,0,0,1,PIA
8.0,HARD,8.0,81.058,0,0,1,PIA
9.0,HARD,9.0,79.906,0,0,1,PIA
10.0,HARD,10.0,80.89,0,0,1,PIA
11.0,HARD,11.0,80.898,0,0,1,PIA
12.0,HARD,12.0,80.135,0,0,1,PIA
13.0,HARD,13.0,78.745,0,0,1,PIA
14.0,HARD,14.0,80.014,0,0,1,PIA
15.0,HARD,15.0,80.264,0,0,1,PIA
16.0,HARD,16.0,79.829,0,0,1,PIA
17.0,HARD,17.0,80.028,0,0,1,PIA
18.0,HARD,18.0,79.832,0,0,1,PIA
19.0,HARD,19.0,79.179,0,0,1,PIA
20.0,HARD,20.0,79.055,0,0,1,PIA
21.0,HARD,21.0,78.601,0,0,1,PIA
22.0,HARD,22.0,78.585,0,0,1,PIA
23.0,HARD,23.0,78.658,0,0,1,PIA
24.0,HARD,24.0,78.636,0,0,1,PIA
25.0,HARD,25.0,78.784,0,0,1,PIA
26.0,HARD,26.0,78.44,0,0,1,PIA
27.0,HARD,27.0,78.523,0,0,1,PIA
28.0,HARD,28.0,78.791,0,0,1,PIA
29.0,HARD,29.0,79.01,0,0,1,PIA
30.0,HARD,30.0,79.396,0,0,1,PIA
31.0,HARD,31.0,78.449,0,0,1,PIA
32.0,HARD,32.0,78.969,0,0,1,PIA
33.0,HARD,33.0,79.06,0,0,1,PIA
34.0,HARD,34.0,78.978,0,0,1,PIA
35.0,HARD,35.0,78.605,0,0,1,PIA
36.0,HARD,36.0,78.882,0,0,1,PIA
37.0,HARD,37.0,78.612,0,0,1,PIA
38.0,HARD,38.0,78.731,0,0,1,PIA
39.0,HARD,39.0,78.362,0,0,1,PIA
40.0,HARD,40.0,78.951,0,0,1,PIA
41.0,HARD,41.0,78.846,0,0,1,PIA
42.0,HARD,42.0,79.795,0,0,1,PIA
43.0,HARD,43.0,78.198,0,0,1,PIA
44.0,HARD,44.0,78.277,0,0,1,PIA
45.0,HARD,45.0,78.082,0,0,1,PIA
46.0,HARD,46.0,78.623,0,0,1,PIA
47.0,HARD,47.0,78.399,0,0,1,PIA
48.0,HARD,48.0,78.395,0,0,1,PIA
49.0,HARD,49.0,78.136,0,0,1,PIA
50.0,HARD,50.0,78.35,0,0,1,PIA
51.0,HARD,51.0,77.909,0,0,1,PIA
52.0,HARD,52.0,78.214,0,0,1,PIA
53.0,HARD,53.0,77.609,0,0,12,PIA
54.0,HARD,54.0,77.362,0,0,1,PIA
55.0,HARD,55.0,77.445,0,0,1,PIA
56.0,HARD,56.0,77.456,0,0,1,PIA
57.0,HARD,57.0,77.3,0,0,1,PIA
58.0,HARD,58.0,77.344,0,0,1,PIA
59.0,HARD,59.0,77.042,0,0,1,PIA
60.0,HARD,60.0,76.617,0,0,1,PIA
61.0,HARD,61.0,76.771,0,0,1,PIA
62.0,HARD,62.0,77.095,0,0,1,PIA
63.0,HARD,63.0,76.921,0,0,1,PIA
64.0,HARD,64.0,76.909,0,0,1,PIA
65.0,HARD,65.0,76.391,0,0,1,PIA
66.0,HARD,66.0,76.64,0,0,1,PIA
67.0,HARD,67.0,76.596,0,0,1,PIA
68.0,HARD,68.0,76.601,0,0,1,PIA
69.0,HARD,69.0,77.371,0,0,1,PIA
70.0,HARD,70.0,77.27,0,0,1,PIA
71.0,HARD,71.0,77.184,0,0,1,PIA
72.0,HARD,72.0,76.652,0,0,1,PIA
73.0,HARD,73.0,76.281,0,0,1,PIA
74.0,HARD,74.0,76.356,0,0,1,PIA
75.0,HARD,75.0,76.644,0,0,1,PIA
76.0,HARD,76.0,76.59,0,0,1,PIA
77.0,HARD,77.0,76.734,0,0,1,PIA
78.0,HARD,78.0,77.126,0,0,1,PIA
1.0,MEDIUM,1.0,2462.721,1,0,1254,SAI
3.0,HARD,2.0,85.012,0,0,1,SAI
4.0,HARD,3.0,82.358,0,0,1,SAI
5.0,HARD,4.0,81.978,0,0,1,SAI
6.0,HARD,5.0,81.163,0,0,1,SAI
7.0,HARD,6.0,81.466,0,0,1,SAI
8.0,HARD,7.0,80.272,0,0,1,SAI
9.0,HARD,8.0,80.525,0,0,1,SAI
10.0,HARD,9.0,81.259,0,0,1,SAI
11.0,HARD,10.0,80.246,0,0,1,SAI
12.0,HARD,11.0,79.974,0,0,1,SAI
13.0,HARD,12.0,80.017,0,0,1,SAI
14.0,HARD,13.0,79.48,0,0,1,SAI
15.0,HARD,14.0,79.543,0,0,1,SAI
16.0,HARD,15.0,80.579,0,0,1,SAI
17.0,HARD,16.0,80.076,0,0,1,SAI
18.0,HARD,17.0,79.177,0,0,1,SAI
19.0,HARD,18.0,79.445,0,0,1,SAI
20.0,HARD,19.0,79.403,0,0,1,SAI
21.0,HARD,20.0,78.917,0,0,1,SAI
22.0,HARD,21.0,78.889,0,0,1,SAI
23.0,HARD,22.0,78.993,0,0,1,SAI
24.0,HARD,23.0,78.568,0,0,1,SAI
25.0,HARD,24.0,78.537,0,0,1,SAI
26.0,HARD,25.0,78.088,0,0,1,SAI
27.0,HARD,26.0,79.49,0,0,1,SAI
28.0,HARD,27.0,79.281,0,0,1,SAI
29.0,HARD,28.0,78.697,0,0,1,SAI
30.0,HARD,29.0,77.326,0,0,1,SAI
31.0,HARD,30.0,79.784,0,0,1,SAI
32.0,HARD,31.0,80.136,0,0,1,SAI
33.0,HARD,32.0,78.778,0,0,1,SAI
34.0,HARD,33.0,79.013,0,0,1,SAI
35.0,HARD,34.0,78.465,0,0,1,SAI
36.0,HARD,35.0,79.275,0,0,1,SAI
37.0,HARD,36.0,77.577,0,0,1,SAI
38.0,HARD,37.0,78.412,0,0,1,SAI
39.0,HARD,38.0,78.31,0,0,1,SAI
40.0,HARD,39.0,78.653,0,0,1,SAI
41.0,HARD,40.0,78.714,0,0,1,SAI
42.0,HARD,41.0,79.171,0,0,1,SAI
43.0,HARD,42.0,79.594,0,0,1,SAI
44.0,HARD,43.0,78.762,0,0,1,SAI
45.0,HARD,44.0,77.885,0,0,1,SAI
46.0,HARD,45.0,78.731,0,0,1,SAI
47.0,HARD,46.0,78.141,0,0,1,SAI
48.0,HARD,47.0,77.894,0,0,1,SAI
49.0,HARD,48.0,78.259,0,0,1,SAI
50.0,HARD,49.0,78.545,0,0,1,SAI
51.0,HARD,50.0,77.528,0,0,1,SAI
52.0,HARD,51.0,78.094,0,0,1,SAI
53.0,HARD,52.0,77.759,0,0,12,SAI
54.0,HARD,53.0,77.742,0,0,1,SAI
55.0,HARD,54.0,78.661,0,0,1,SAI
56.0,HARD,55.0,78.119,0,0,1,SAI
57.0,HARD,56.0,77.599,0,0,1,SAI
58.0,HARD,57.0,77.501,0,0,1,SAI
59.0,HARD,58.0,77.134,0,0,1,SAI
60.0,HARD,59.0,75.159,0,0,1,SAI
61.0,HARD,60.0,79.046,0,0,1,SAI
62.0,HARD,61.0,74.726,0,0,1,SAI
63.0,HARD,62.0,78.207,0,0,1,SAI
64.0,HARD,63.0,74.813,0,0,1,SAI
65.0,HARD,64.0,78.137,0,0,1,SAI
66.0,HARD,65.0,75.409,0,0,1,SAI
67.0,HARD,66.0,76.847,0,0,1,SAI
68.0,HARD,67.0,75.595,0,0,1,SAI
69.0,HARD,68.0,76.218,0,0,1,SAI
70.0,HARD,69.0,77.117,0,0,1,SAI
71.0,HARD,70.0,77.214,0,0,1,SAI
72.0,HARD,71.0,76.785,0,0,1,SAI
73.0,HARD,72.0,76.417,0,0,1,SAI
74.0,HARD,73.0,76.063,0,0,1,SAI
75.0,HARD,74.0,76.905,0,0,1,SAI
76.0,HARD,75.0,76.328,0,0,1,SAI
77.0,HARD,76.0,76.701,0,0,1,SAI
78.0,HARD,77.0,77.072,0,0,1,SAI
1.0,MEDIUM,2.0,2468.042,1,0,1254,NOR
3.0,HARD,3.0,85.283,0,0,1,NOR
4.0,HARD,4.0,82.782,0,0,1,NOR
5.0,HARD,5.0,82.147,0,0,1,NOR
6.0,HARD,6.0,81.804,0,0,1,NOR
7.0,HARD,7.0,80.828,0,0,1,NOR
8.0,HARD,8.0,80.82,0,0,1,NOR
9.0,HARD,9.0,80.397,0,0,1,NOR
10.0,HARD,10.0,80.972,0,0,1,NOR
11.0,HARD,11.0,80.87,0,0,1,NOR
12.0,HARD,12.0,79.933,0,0,1,NOR
13.0,HARD,13.0,79.82,0,0,1,NOR
14.0,HARD,14.0,79.385,0,0,1,NOR
15.0,HARD,15.0,79.775,0,0,1,NOR
16.0,HARD,16.0,79.637,0,0,1,NOR
17.0,HARD,17.0,80.337,0,0,1,NOR
18.0,HARD,18.0,79.398,0,0,1,NOR
19.0,HARD,19.0,79.28,0,0,1,NOR
20.0,HARD,20.0,79.043,0,0,1,NOR
21.0,HARD,21.0,78.983,0,0,1,NOR
22.0,HARD,22.0,78.981,0,0,1,NOR
23.0,HARD,23.0,79.194,0,0,1,NOR
24.0,HARD,24.0,78.699,0,0,1,NOR
25.0,HARD,25.0,78.64,0,0,1,NOR
26.0,HARD,26.0,78.396,0,0,1,NOR
27.0,HARD,27.0,78.72,0,0,1,NOR
28.0,HARD,28.0,79.238,0,0,1,NOR
29.0,HARD,29.0,78.766,0,0,1,NOR
30.0,HARD,30.0,78.403,0,0,1,NOR
31.0,HARD,31.0,78.78,0,0,1,NOR
32.0,HARD,32.0,79.538,0,0,1,NOR
33.0,HARD,33.0,79.233,0,0,1,NOR
34.0,HARD,34.0,79.243,0,0,1,NOR
35.0,HARD,35.0,78.714,0,0,1,NOR
36.0,HARD,36.0,78.582,0,0,1,NOR
37.0,HARD,37.0,77.958,0,0,1,NOR
38.0,HARD,38.0,77.994,0,0,1,NOR
39.0,HARD,39.0,78.303,0,0,1,NOR
40.0,HARD,40.0,78.824,0,0,1,NOR
41.0,HARD,41.0,78.519,0,0,1,NOR
42.0,HARD,42.0,79.436,0,0,1,NOR
43.0,HARD,43.0,79.796,0,0,1,NOR
44.0,HARD,44.0,78.906,0,0,1,NOR
45.0,HARD,45.0,77.897,0,0,1,NOR
46.0,HARD,46.0,78.215,0,0,1,NOR
47.0,HARD,47.0,78.141,0,0,1,NOR
48.0,HARD,48.0,77.975,0,0,1,NOR
49.0,HARD,49.0,78.177,0,0,1,NOR
50.0,HARD,50.0,78.218,0,0,1,NOR
51.0,HARD,51.0,77.772,0,0,1,NOR
52.0,HARD,52.0,78.223,0,0,1,NOR
53.0,HARD,53.0,77.57,0,0,12,NOR
54.0,HARD,54.0,77.838,0,0,1,NOR
55.0,HARD,55.0,78.382,0,0,1,NOR
56.0,HARD,56.0,78.155,0,0,1,NOR
57.0,HARD,57.0,77.815,0,0,1,NOR
58.0,HARD,58.0,77.395,0,0,1,NOR
59.0,HARD,59.0,77.122,0,0,1,NOR
60.0,HARD,60.0,76.695,0,0,1,NOR
61.0,HARD,61.0,77.614,0,0,1,NOR
62.0,HARD,62.0,76.026,0,0,1,NOR
63.0,HARD,63.0,76.876,0,0,1,NOR
64.0,HARD,64.0,75.742,0,0,1,NOR
65.0,HARD,65.0,77.143,0,0,1,NOR
66.0,HARD,66.0,76.214,0,0,1,NOR
67.0,HARD,67.0,76.115,0,0,1,NOR
68.0,HARD,68.0,76.172,0,0,1,NOR
69.0,HARD,69.0,76.314,0,0,1,NOR
70.0,HARD,70.0,77.213,0,0,1,NOR
71.0,HARD,71.0,76.609,0,0,1,NOR
72.0,HARD,72.0,76.801,0,0,1,NOR
73.0,HARD,73.0,76.285,0,0,1,NOR
74.0,HARD,74.0,76.429,0,0,1,NOR
75.0,HARD,75.0,76.517,0,0,1,NOR
76.0,HARD,76.0,76.671,0,0,1,NOR
77.0,HARD,77.0,76.512,0,0,1,NOR
78.0,HARD,78.0,77.296,0,0,1,NOR
1.0,HARD,1.0,2473.884,1,0,1254,RUS
3.0,MEDIUM,2.0,85.319,0,0,1,RUS
4.0,MEDIUM,3.0,82.868,0,0,1,RUS
5.0,MEDIUM,4.0,83.045,0,0,1,RUS
6.0,MEDIUM,5.0,83.012,0,0,1,RUS
7.0,MEDIUM,6.0,81.415,0,0,1,RUS
8.0,MEDIUM,7.0,81.612,0,0,1,RUS
9.0,MEDIUM,8.0,81.433,0,0,1,RUS
10.0,MEDIUM,9.0,81.531,0,0,1,RUS
11.0,MEDIUM,10.0,81.452,0,0,1,RUS
12.0,MEDIUM,11.0,80.316,0,0,1,RUS
13.0,MEDIUM,12.0,80.525,0,0,1,RUS
14.0,MEDIUM,13.0,80.272,0,0,1,RUS
15.0,MEDIUM,14.0,80.202,0,0,1,RUS
16.0,MEDIUM,15.0,79.913,0,0,1,RUS
17.0,MEDIUM,16.0,80.15,0,0,1,RUS
18.0,MEDIUM,17.0,79.438,0,0,1,RUS
19.0,MEDIUM,18.0,80.157,0,0,1,RUS
20.0,MEDIUM,19.0,80.053,0,0,1,RUS
21.0,MEDIUM,20.0,79.788,0,0,1,RUS
22.0,MEDIUM,21.0,79.691,0,0,1,RUS
23.0,MEDIUM,22.0,79.397,0,0,1,RUS
24.0,MEDIUM,23.0,79.484,0,0,1,RUS
25.0,MEDIUM,24.0,78.651,0,0,1,RUS
26.0,MEDIUM,25.0,79.006,0,0,1,RUS
27.0,MEDIUM,26.0,78.927,0,0,1,RUS
28.0,MEDIUM,27.0,78.679,0,0,1,RUS
29.0,MEDIUM,28.0,78.624,0,0,1,RUS
30.0,MEDIUM,29.0,78.811,0,0,1,RUS
31.0,MEDIUM,30.0,79.101,0,0,1,RUS
32.0,MEDIUM,31.0,79.122,0,0,1,RUS
33.0,MEDIUM,32.0,78.91,0,0,1,RUS
34.0,MEDIUM,33.0,79.379,0,0,1,RUS
35.0,MEDIUM,34.0,80.448,0,0,1,RUS
36.0,MEDIUM,35.0,79.728,0,0,1,RUS
37.0,MEDIUM,36.0,78.757,0,0,1,RUS
38.0,MEDIUM,37.0,78.446,0,0,1,RUS
